,cik,date,name,url
27,51497,1995-02-01,INTERNATIONAL RESEARCH & DEVELOPMENT CORP,https://www.sec.gov/Archives/edgar/data/51497/0000914760-95-000007.txt
28,808918,1995-03-07,GLENAYRE TECHNOLOGIES INC,https://www.sec.gov/Archives/edgar/data/808918/0000950168-95-000141.txt
29,72971,1995-02-21,NORWEST CORP,https://www.sec.gov/Archives/edgar/data/72971/0000912057-95-000869.txt
30,6284,1995-03-13,ANALOGIC CORP,https://www.sec.gov/Archives/edgar/data/6284/0000006284-95-000010.txt
31,874783,1995-03-15,SEARS CREDIT ACCOUNT TRUST 1991-B,https://www.sec.gov/Archives/edgar/data/874783/0000860004-95-000027.txt
32,352049,1995-03-17,TOLEDO EDISON CO,https://www.sec.gov/Archives/edgar/data/352049/0000774197-95-000004.txt
33,106015,1995-02-24,WESTERN COMPANY OF NORTH AMERICA,https://www.sec.gov/Archives/edgar/data/106015/0000890566-95-000090.txt
34,20520,1995-02-08,CITIZENS UTILITIES CO,https://www.sec.gov/Archives/edgar/data/20520/0000020520-95-000004.txt
35,793421,1995-02-24,FREEPORT MCMORAN RESOURCE PARTNERS LIMITED PARTNERSHIP,https://www.sec.gov/Archives/edgar/data/793421/0000793421-95-000004.txt
36,92380,1995-03-06,SOUTHWEST AIRLINES CO,https://www.sec.gov/Archives/edgar/data/92380/0000950134-95-000295.txt
37,201499,1995-01-18,COMMERCIAL CREDIT CO,https://www.sec.gov/Archives/edgar/data/201499/0000950112-95-000079.txt
38,22989,1995-03-02,COMPUTER DATA SYSTEMS INC,https://www.sec.gov/Archives/edgar/data/22989/0000022989-95-000003.txt
39,801898,1995-01-26,HARNISCHFEGER INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/801898/0000801898-95-000007.txt
40,32689,1995-03-27,EMPIRE DISTRICT ELECTRIC CO,https://www.sec.gov/Archives/edgar/data/32689/0000032689-95-000005.txt
41,708819,1995-02-15,MCDERMOTT INTERNATIONAL INC,https://www.sec.gov/Archives/edgar/data/708819/0000899243-95-000055.txt
42,351979,1995-01-26,BURLINGTON NORTHERN INC/DE/,https://www.sec.gov/Archives/edgar/data/351979/0000950130-95-000106.txt
43,53117,1995-01-26,JAMES RIVER CORP OF VIRGINIA,https://www.sec.gov/Archives/edgar/data/53117/0000053117-95-000002.txt
44,278130,1995-01-05,PIER 1 IMPORTS INC/DE,https://www.sec.gov/Archives/edgar/data/278130/0000897423-95-000002.txt
45,43960,1995-01-26,GREYHOUND FINANCIAL CORP,https://www.sec.gov/Archives/edgar/data/43960/0000950153-95-000015.txt
46,36678,1995-03-15,STAR BANC CORP /OH/,https://www.sec.gov/Archives/edgar/data/36678/0000036678-95-000015.txt
47,225998,1995-02-02,WASHINGTON ENERGY CO,https://www.sec.gov/Archives/edgar/data/225998/0000225998-95-000007.txt
48,44801,1995-02-24,HADSON CORP,https://www.sec.gov/Archives/edgar/data/44801/0000950134-95-000274.txt
49,716006,1995-03-14,YELLOW CORP,https://www.sec.gov/Archives/edgar/data/716006/0000950124-95-000695.txt
50,5272,1995-03-02,AMERICAN INTERNATIONAL GROUP INC,https://www.sec.gov/Archives/edgar/data/5272/0000950123-95-000398.txt
51,51467,1995-01-23,GROUND ROUND RESTAURANTS INC,https://www.sec.gov/Archives/edgar/data/51467/0000950135-95-000027.txt
52,51396,1995-03-01,MALLINCKRODT GROUP INC,https://www.sec.gov/Archives/edgar/data/51396/0000051396-95-000007.txt
53,823393,1995-01-18,SHAWMUT NATIONAL CORP,https://www.sec.gov/Archives/edgar/data/823393/0000823393-95-000001.txt
54,104880,1995-03-08,WASHINGTON NATURAL GAS CO,https://www.sec.gov/Archives/edgar/data/104880/0000225998-95-000013.txt
55,713676,1995-03-14,PNC BANK CORP,https://www.sec.gov/Archives/edgar/data/713676/0000950128-95-000053.txt
56,722079,1995-03-29,TERRA INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/722079/0000950131-95-000776.txt
57,109710,1995-03-28,CLARK EQUIPMENT CO /DE/,https://www.sec.gov/Archives/edgar/data/109710/0000109710-95-000005.txt
58,70858,1995-03-02,NATIONSBANK CORP,https://www.sec.gov/Archives/edgar/data/70858/0000070858-95-000002.txt
59,29915,1995-01-20,DOW CHEMICAL CO /DE/,https://www.sec.gov/Archives/edgar/data/29915/0000029915-95-000002.txt
60,351616,1995-03-27,ONE VALLEY BANCORP OF WEST VIRGINIA INC,https://www.sec.gov/Archives/edgar/data/351616/0000351616-95-000001.txt
61,99231,1995-02-14,TRANSCO ENERGY CO,https://www.sec.gov/Archives/edgar/data/99231/0000950172-95-000057.txt
62,868635,1995-01-09,ROBERTSON CECO CORP,https://www.sec.gov/Archives/edgar/data/868635/0000868635-95-000002.txt
63,12180,1995-03-28,BINKS MANUFACTURING CO,https://www.sec.gov/Archives/edgar/data/12180/0000950172-95-000112.txt
64,108772,1995-03-08,XEROX CORP,https://www.sec.gov/Archives/edgar/data/108772/0000108772-95-000003.txt
65,778169,1995-02-22,CRYSTAL BRANDS INC,https://www.sec.gov/Archives/edgar/data/778169/0000909518-95-000033.txt
66,108772,1995-03-08,XEROX CORP,https://www.sec.gov/Archives/edgar/data/108772/0000108772-95-000004.txt
67,800575,1995-03-17,PREMARK INTERNATIONAL INC,https://www.sec.gov/Archives/edgar/data/800575/0000800575-95-000003.txt
68,39547,1995-02-06,ACTAVA GROUP INC,https://www.sec.gov/Archives/edgar/data/39547/0000950144-95-000263.txt
69,714560,1995-01-27,USAIR INC /NEW/,https://www.sec.gov/Archives/edgar/data/714560/0000714560-95-000001.txt
70,66756,1995-02-27,MINNESOTA POWER & LIGHT CO,https://www.sec.gov/Archives/edgar/data/66756/0000066756-95-000010.txt
71,103682,1995-03-22,VIRGINIA ELECTRIC & POWER CO,https://www.sec.gov/Archives/edgar/data/103682/0000103682-95-000003.txt
72,29915,1995-01-27,DOW CHEMICAL CO /DE/,https://www.sec.gov/Archives/edgar/data/29915/0000029915-95-000006.txt
73,16732,1995-02-09,CAMPBELL SOUP CO,https://www.sec.gov/Archives/edgar/data/16732/0000893220-95-000052.txt
74,38009,1995-03-24,FORD MOTOR CREDIT CO,https://www.sec.gov/Archives/edgar/data/38009/0000038009-95-000077.txt
75,49588,1995-01-27,SOUTHWESTERN LIFE CORP,https://www.sec.gov/Archives/edgar/data/49588/0000049588-95-000004.txt
76,2488,1995-03-17,ADVANCED MICRO DEVICES INC,https://www.sec.gov/Archives/edgar/data/2488/0000950131-95-000624.txt
77,67686,1995-03-28,MONSANTO CO,https://www.sec.gov/Archives/edgar/data/67686/0000950114-95-000046.txt
78,42246,1995-01-24,MIRAGE RESORTS INC,https://www.sec.gov/Archives/edgar/data/42246/0000042246-95-000003.txt
79,4570,1995-03-17,AMERICAN BANCORPORATION /OH/,https://www.sec.gov/Archives/edgar/data/4570/0000004570-95-000003.txt
80,836666,1995-02-03,ASSOCIATED NATURAL GAS CORP,https://www.sec.gov/Archives/edgar/data/836666/0000950129-95-000031.txt
81,815553,1995-03-16,PRONET INC /DE/,https://www.sec.gov/Archives/edgar/data/815553/0000912057-95-001428.txt
82,275605,1995-02-24,JONES INTERCABLE INC,https://www.sec.gov/Archives/edgar/data/275605/0000950134-95-000266.txt
83,769397,1995-01-06,AUTODESK INC,https://www.sec.gov/Archives/edgar/data/769397/0000898430-95-000012.txt
84,94673,1995-01-26,STORAGE TECHNOLOGY CORP,https://www.sec.gov/Archives/edgar/data/94673/0000094673-95-000002.txt
85,39020,1995-02-22,FREQUENCY ELECTRONICS INC,https://www.sec.gov/Archives/edgar/data/39020/0000039020-95-000006.txt
86,100893,1995-01-13,UNION PLANTERS CORP,https://www.sec.gov/Archives/edgar/data/100893/0000950144-95-000040.txt
87,99359,1995-01-05,TRANSTECHNOLOGY CORP,https://www.sec.gov/Archives/edgar/data/99359/0000950123-95-000008.txt
88,9659,1995-02-17,SIGNET BANKING CORP,https://www.sec.gov/Archives/edgar/data/9659/0000950109-95-000408.txt
89,36161,1995-01-17,FIRST CHICAGO CORP,https://www.sec.gov/Archives/edgar/data/36161/0000950131-95-000044.txt
90,106640,1995-02-27,WHIRLPOOL CORP /DE/,https://www.sec.gov/Archives/edgar/data/106640/0000950131-95-000447.txt
91,86940,1995-03-01,SAVANNAH ELECTRIC & POWER CO,https://www.sec.gov/Archives/edgar/data/86940/0000092122-95-000023.txt
92,714154,1995-01-26,COMPAQ COMPUTER CORP,https://www.sec.gov/Archives/edgar/data/714154/0000714154-95-000002.txt
93,2969,1995-01-20,AIR PRODUCTS & CHEMICALS INC /DE/,https://www.sec.gov/Archives/edgar/data/2969/0000950123-95-000080.txt
94,45012,1995-01-09,HALLIBURTON CO,https://www.sec.gov/Archives/edgar/data/45012/0000045012-95-000002.txt
95,98246,1995-01-05,TIFFANY & CO,https://www.sec.gov/Archives/edgar/data/98246/0000098246-95-000002.txt
96,317745,1995-03-13,GENERAL RE CORP,https://www.sec.gov/Archives/edgar/data/317745/0000317745-95-000003.txt
97,76696,1995-03-03,HONDO OIL & GAS CO,https://www.sec.gov/Archives/edgar/data/76696/0000076696-95-000009.txt
98,109710,1995-02-03,CLARK EQUIPMENT CO /DE/,https://www.sec.gov/Archives/edgar/data/109710/0000109710-95-000002.txt
99,90498,1995-01-20,SIMMONS FIRST NATIONAL CORP,https://www.sec.gov/Archives/edgar/data/90498/0000090498-95-000010.txt
100,834071,1995-05-18,TOYOTA MOTOR CREDIT CORP,https://www.sec.gov/Archives/edgar/data/834071/0000834071-95-000026.txt
101,24741,1995-06-27,CORNING INC /NY,https://www.sec.gov/Archives/edgar/data/24741/0000024741-95-000057.txt
102,105107,1995-05-11,SIGNAL APPAREL COMPANY INC,https://www.sec.gov/Archives/edgar/data/105107/0000913943-95-000007.txt
103,14995,1995-05-19,DIXON TICONDEROGA CO,https://www.sec.gov/Archives/edgar/data/14995/0000014995-95-000016.txt
104,814853,1995-06-09,CONTROL CHIEF HOLDINGS INC,https://www.sec.gov/Archives/edgar/data/814853/0000814853-95-000010.txt
105,890175,1995-05-19,GREEN TREE FINANCIAL CORP,https://www.sec.gov/Archives/edgar/data/890175/0000950131-95-001350.txt
106,61442,1995-05-26,TODD AO CORP,https://www.sec.gov/Archives/edgar/data/61442/0000912057-95-004170.txt
107,732700,1995-05-18,COM TEK RESOURCES INC,https://www.sec.gov/Archives/edgar/data/732700/0000912057-95-004001.txt
108,840491,1995-04-12,REN CORP USA,https://www.sec.gov/Archives/edgar/data/840491/0000950144-95-000996.txt
109,61398,1995-05-17,MAGELLAN PETROLEUM CORP /DE/,https://www.sec.gov/Archives/edgar/data/61398/0000061398-95-000004.txt
110,719184,1995-05-12,CONSOLIDATED CAPITAL INSTITUTIONAL PROPERTIES 2,https://www.sec.gov/Archives/edgar/data/719184/0000910650-95-000009.txt
111,835015,1995-04-24,DEKALB GENETICS CORP,https://www.sec.gov/Archives/edgar/data/835015/0000835015-95-000005.txt
112,799290,1995-04-03,NELLCOR INC /DE/,https://www.sec.gov/Archives/edgar/data/799290/0000912057-95-002126.txt
113,84567,1995-06-06,FRONTIER CORP /NY/,https://www.sec.gov/Archives/edgar/data/84567/0000084567-95-000043.txt
114,81371,1995-06-30,QUAKER OATS CO,https://www.sec.gov/Archives/edgar/data/81371/0000081371-95-000034.txt
115,63528,1995-04-13,MAYNARD OIL CO,https://www.sec.gov/Archives/edgar/data/63528/0000914760-95-000038.txt
116,350206,1995-05-04,LNH REIT INC,https://www.sec.gov/Archives/edgar/data/350206/0000350206-95-000002.txt
117,71689,1995-06-08,NEW YORK TELEPHONE CO,https://www.sec.gov/Archives/edgar/data/71689/0000732714-95-000009.txt
118,720676,1995-05-25,XCL LTD,https://www.sec.gov/Archives/edgar/data/720676/0000720676-95-000011.txt
119,64782,1995-04-19,MELLON BANK CORP,https://www.sec.gov/Archives/edgar/data/64782/0000950132-95-000139.txt
120,98537,1995-06-20,TODD SHIPYARDS CORP,https://www.sec.gov/Archives/edgar/data/98537/0000098537-95-000021.txt
121,836400,1995-06-07,DR PEPPER SEVEN UP COMPANIES INC /DE/,https://www.sec.gov/Archives/edgar/data/836400/0000912057-95-004429.txt
122,200754,1995-05-16,SUMMIT BANCORPORATION,https://www.sec.gov/Archives/edgar/data/200754/0000950123-95-001458.txt
123,89089,1995-05-23,SERVICE CORPORATION INTERNATIONAL,https://www.sec.gov/Archives/edgar/data/89089/0000950129-95-000575.txt
124,8795,1995-06-27,AVCO FINANCIAL SERVICES INC,https://www.sec.gov/Archives/edgar/data/8795/0000892569-95-000310.txt
125,831861,1995-05-22,CONCORD CAMERA CORP,https://www.sec.gov/Archives/edgar/data/831861/0000831861-95-000005.txt
126,26987,1995-05-11,DDL ELECTRONICS INC,https://www.sec.gov/Archives/edgar/data/26987/0000026987-95-000019.txt
127,853665,1995-05-17,APPLEBEES INTERNATIONAL INC,https://www.sec.gov/Archives/edgar/data/853665/0000853665-95-000021.txt
128,28323,1995-06-29,DESIGNATRONICS INC,https://www.sec.gov/Archives/edgar/data/28323/0000028323-95-000008.txt
129,774352,1995-05-26,RESIDENTIAL FUNDING MORTGAGE SECURITIES I INC,https://www.sec.gov/Archives/edgar/data/774352/0000774352-95-000052.txt
130,722104,1995-06-13,BIO TECHNOLOGY GENERAL CORP,https://www.sec.gov/Archives/edgar/data/722104/0000950110-95-000442.txt
131,812444,1995-06-26,LIPOSOME TECHNOLOGY INC /DE/,https://www.sec.gov/Archives/edgar/data/812444/0000912057-95-004854.txt
132,81870,1995-04-21,RALSTON PURINA CO,https://www.sec.gov/Archives/edgar/data/81870/0000081870-95-000025.txt
133,731859,1995-06-15,AMPAL AMERICAN ISRAEL CORP /NY/,https://www.sec.gov/Archives/edgar/data/731859/0000889812-95-000305.txt
134,752692,1995-04-28,MILTOPE GROUP INC,https://www.sec.gov/Archives/edgar/data/752692/0000950120-95-000022.txt
135,71344,1995-05-24,NEW ENGLAND TELEPHONE & TELEGRAPH CO,https://www.sec.gov/Archives/edgar/data/71344/0000071344-95-000002.txt
136,353020,1995-05-03,INSITUFORM TECHNOLOGIES INC,https://www.sec.gov/Archives/edgar/data/353020/0000922435-95-000020.txt
137,64040,1995-05-02,MCGRAW-HILL COMPANIES INC,https://www.sec.gov/Archives/edgar/data/64040/0000950123-95-001206.txt
138,756428,1995-04-24,PAINE WEBBER QUALIFIED PLAN PROPERTY FUND FOUR LP,https://www.sec.gov/Archives/edgar/data/756428/0000756428-95-000003.txt
139,27673,1995-05-23,DEERE JOHN CAPITAL CORP,https://www.sec.gov/Archives/edgar/data/27673/0000027673-95-000025.txt
140,774352,1995-05-11,RESIDENTIAL FUNDING MORTGAGE SECURITIES I INC,https://www.sec.gov/Archives/edgar/data/774352/0000774352-95-000041.txt
141,831001,1995-06-30,TRAVELERS GROUP INC,https://www.sec.gov/Archives/edgar/data/831001/0000950112-95-001785.txt
142,82267,1995-05-09,RAYTHEON CO,https://www.sec.gov/Archives/edgar/data/82267/0000950130-95-000914.txt
143,85149,1995-04-25,ROSES STORES INC,https://www.sec.gov/Archives/edgar/data/85149/0000950168-95-000330.txt
144,920148,1995-05-12,LABORATORY CORP OF AMERICA HOLDINGS,https://www.sec.gov/Archives/edgar/data/920148/0000950103-95-000171.txt
145,93556,1995-06-06,STANLEY WORKS,https://www.sec.gov/Archives/edgar/data/93556/0000093556-95-000006.txt
146,858452,1995-05-02,TRICARE INC,https://www.sec.gov/Archives/edgar/data/858452/0000950144-95-001159.txt
147,74697,1995-05-23,OPTICAL COATING LABORATORY INC,https://www.sec.gov/Archives/edgar/data/74697/0000074697-95-000011.txt
148,57131,1995-05-10,LA Z BOY CHAIR CO,https://www.sec.gov/Archives/edgar/data/57131/0000057131-95-000041.txt
149,216430,1995-04-10,LIQUI BOX CORP,https://www.sec.gov/Archives/edgar/data/216430/0000896463-95-000061.txt
150,774214,1995-05-18,UNION TEXAS PETROLEUM HOLDINGS INC,https://www.sec.gov/Archives/edgar/data/774214/0000950129-95-000538.txt
151,100826,1995-06-12,UNION ELECTRIC CO,https://www.sec.gov/Archives/edgar/data/100826/0000950124-95-001713.txt
152,82329,1995-04-07,READING & BATES CORP,https://www.sec.gov/Archives/edgar/data/82329/0000082329-95-000033.txt
153,3753,1995-06-09,ALLEN ORGAN CO,https://www.sec.gov/Archives/edgar/data/3753/0000003753-95-000013.txt
154,700997,1995-05-24,TCA CABLE TV INC,https://www.sec.gov/Archives/edgar/data/700997/0000950134-95-001237.txt
155,890175,1995-06-19,GREEN TREE FINANCIAL CORP,https://www.sec.gov/Archives/edgar/data/890175/0000950109-95-002364.txt
156,718077,1995-04-28,PEOPLES FIRST CORP,https://www.sec.gov/Archives/edgar/data/718077/0000718077-95-000006.txt
157,2969,1995-04-25,AIR PRODUCTS & CHEMICALS INC /DE/,https://www.sec.gov/Archives/edgar/data/2969/0000950123-95-001122.txt
158,742126,1995-04-03,AMERICAN ECOLOGY CORP,https://www.sec.gov/Archives/edgar/data/742126/0000899243-95-000154.txt
159,103682,1995-04-18,VIRGINIA ELECTRIC & POWER CO,https://www.sec.gov/Archives/edgar/data/103682/0000916641-95-000132.txt
160,56868,1995-05-05,PRIMEENERGY CORP,https://www.sec.gov/Archives/edgar/data/56868/0000950134-95-000906.txt
161,78239,1995-04-28,PHILLIPS VAN HEUSEN CORP /DE/,https://www.sec.gov/Archives/edgar/data/78239/0000078239-95-000008.txt
162,825541,1995-06-12,SILGAN CORP,https://www.sec.gov/Archives/edgar/data/825541/0000896058-95-000057.txt
163,716615,1995-04-13,BKLA BANCORP,https://www.sec.gov/Archives/edgar/data/716615/0000950148-95-000165.txt
164,2601,1995-04-20,AEROFLEX INC,https://www.sec.gov/Archives/edgar/data/2601/0000002601-95-000008.txt
165,844843,1995-06-27,GEOTEK COMMUNICATIONS INC,https://www.sec.gov/Archives/edgar/data/844843/0000950116-95-000263.txt
166,356799,1995-05-03,CODA ENERGY INC,https://www.sec.gov/Archives/edgar/data/356799/0000930661-95-000091.txt
167,778161,1995-04-03,INTRENET INC,https://www.sec.gov/Archives/edgar/data/778161/0000778161-95-000003.txt
168,890175,1995-06-15,GREEN TREE FINANCIAL CORP,https://www.sec.gov/Archives/edgar/data/890175/0000950131-95-001668.txt
169,793931,1995-06-29,CALGENE INC /DE/,https://www.sec.gov/Archives/edgar/data/793931/0000927016-95-000101.txt
170,10048,1995-06-12,BARNWELL INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/10048/0000010048-95-000004.txt
171,92244,1995-04-21,SOUTHERN NEW ENGLAND TELEPHONE CO,https://www.sec.gov/Archives/edgar/data/92244/0000092244-95-000004.txt
172,84278,1995-05-02,ROANOKE ELECTRIC STEEL CORP,https://www.sec.gov/Archives/edgar/data/84278/0000084278-95-000009.txt
173,815553,1995-04-17,PRONET INC /DE/,https://www.sec.gov/Archives/edgar/data/815553/0000912057-95-002485.txt
174,709355,1995-04-11,CASTLE ENERGY CORP,https://www.sec.gov/Archives/edgar/data/709355/0000950116-95-000094.txt
175,96959,1995-05-31,TLM CORP,https://www.sec.gov/Archives/edgar/data/96959/0000950123-95-001610.txt
176,769208,1995-05-08,CONAIR CORP/DE/NEW,https://www.sec.gov/Archives/edgar/data/769208/0000769208-95-000008.txt
177,719164,1995-04-12,SCHAWK INC,https://www.sec.gov/Archives/edgar/data/719164/0000950124-95-001080.txt
178,79958,1995-05-22,PRECISION CASTPARTS CORP,https://www.sec.gov/Archives/edgar/data/79958/0000079958-95-000006.txt
179,719612,1995-06-12,SOFTKEY INTERNATIONAL INC,https://www.sec.gov/Archives/edgar/data/719612/0000950135-95-001331.txt
180,802223,1995-06-02,UNIONFED FINANCIAL CORP,https://www.sec.gov/Archives/edgar/data/802223/0000912057-95-004360.txt
181,785080,1995-05-15,CENTURY COMMUNICATIONS CORP,https://www.sec.gov/Archives/edgar/data/785080/0000785080-95-000008.txt
182,796038,1995-05-24,THERMO PROCESS SYSTEMS INC,https://www.sec.gov/Archives/edgar/data/796038/0000796038-95-000009.txt
183,14803,1995-06-27,BROWN TOM INC /DE,https://www.sec.gov/Archives/edgar/data/14803/0000950129-95-000700.txt
184,72162,1995-04-25,NL INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/72162/0000072162-95-000007.txt
185,868482,1995-06-15,SEARS CREDIT ACCOUNT TRUST 1990 D,https://www.sec.gov/Archives/edgar/data/868482/0000869391-95-000002.txt
186,830141,1995-06-29,PIONEER COMPANIES INC,https://www.sec.gov/Archives/edgar/data/830141/0000899140-95-000126.txt
187,15615,1995-05-12,MASTEC INC,https://www.sec.gov/Archives/edgar/data/15615/0000015615-95-000006.txt
188,719413,1995-06-06,HECLA MINING CO/DE/,https://www.sec.gov/Archives/edgar/data/719413/0000719413-95-000003.txt
189,756055,1995-04-12,ZING TECHNOLOGIES INC,https://www.sec.gov/Archives/edgar/data/756055/0000950112-95-000984.txt
190,4960,1995-04-05,DOSKOCIL COMPANIES INC,https://www.sec.gov/Archives/edgar/data/4960/0000004960-95-000002.txt
191,14280,1995-06-12,SPORTS TECH INC,https://www.sec.gov/Archives/edgar/data/14280/0000950148-95-000316.txt
192,19704,1995-05-19,CHERRY CORP,https://www.sec.gov/Archives/edgar/data/19704/0000914760-95-000062.txt
193,21212,1995-04-13,COACHMEN INDUSTRIES INC,https://www.sec.gov/Archives/edgar/data/21212/0000021212-95-000004.txt
194,26987,1995-04-21,DDL ELECTRONICS INC,https://www.sec.gov/Archives/edgar/data/26987/0000026987-95-000016.txt
195,107203,1995-05-30,WILLCOX & GIBBS INC,https://www.sec.gov/Archives/edgar/data/107203/0000950155-95-000014.txt
196,354869,1995-04-27,FIRSTMERIT CORP,https://www.sec.gov/Archives/edgar/data/354869/0000950152-95-000776.txt
197,798953,1995-05-30,LOYOLA CAPITAL CORP,https://www.sec.gov/Archives/edgar/data/798953/0000912057-95-004274.txt
198,788329,1995-05-26,JOHNSON WORLDWIDE ASSOCIATES INC,https://www.sec.gov/Archives/edgar/data/788329/0000897069-95-000069.txt
199,788964,1995-06-13,OHM CORP,https://www.sec.gov/Archives/edgar/data/788964/0000950152-95-001251.txt
200,822043,1995-08-25,MCCLATCHY NEWSPAPERS INC,https://www.sec.gov/Archives/edgar/data/822043/0000891618-95-000496.txt
201,793306,1995-09-08,BLUE DOLPHIN ENERGY CO,https://www.sec.gov/Archives/edgar/data/793306/0000793306-95-000022.txt
202,703970,1995-09-15,SOUTHSIDE BANCSHARES CORP,https://www.sec.gov/Archives/edgar/data/703970/0000950131-95-002575.txt
203,40858,1995-09-29,GTE CORP,https://www.sec.gov/Archives/edgar/data/40858/0000040858-95-000141.txt
204,939028,1995-08-18,RCL TRUST 1995-1,https://www.sec.gov/Archives/edgar/data/939028/0000950124-95-002629.txt
205,855587,1995-08-04,HEALTHSOURCE INC,https://www.sec.gov/Archives/edgar/data/855587/0000950135-95-001647.txt
206,100063,1995-07-14,TSI INC /MN/,https://www.sec.gov/Archives/edgar/data/100063/0000100063-95-000006.txt
207,217416,1995-07-26,UNITED COMPANIES FINANCIAL CORP,https://www.sec.gov/Archives/edgar/data/217416/0000899681-95-000149.txt
208,820626,1995-08-23,IMC GLOBAL INC,https://www.sec.gov/Archives/edgar/data/820626/0000820626-95-000012.txt
209,318025,1995-08-25,UNITED STATES FILTER CORP,https://www.sec.gov/Archives/edgar/data/318025/0000898430-95-001705.txt
210,351825,1995-08-28,FIRST NATIONAL BANCORP /GA/,https://www.sec.gov/Archives/edgar/data/351825/0000917435-95-000002.txt
211,808715,1995-09-11,MPTV INC,https://www.sec.gov/Archives/edgar/data/808715/0000912057-95-007669.txt
212,738076,1995-07-31,3COM CORP,https://www.sec.gov/Archives/edgar/data/738076/0000738076-95-000013.txt
213,703559,1995-08-24,HUBCO INC,https://www.sec.gov/Archives/edgar/data/703559/0000927796-95-000058.txt
214,97210,1995-09-01,TERADYNE INC,https://www.sec.gov/Archives/edgar/data/97210/0000097210-95-000007.txt
215,58091,1995-08-30,LAWTER INTERNATIONAL INC,https://www.sec.gov/Archives/edgar/data/58091/0000899657-95-000135.txt
216,313478,1995-08-03,HARKEN ENERGY CORP,https://www.sec.gov/Archives/edgar/data/313478/0000950134-95-001737.txt
217,785161,1995-09-07,HEALTHSOUTH CORP,https://www.sec.gov/Archives/edgar/data/785161/0000890613-95-000116.txt
